carrier,dep_hour,count,prob_delay
American Airlines,0,532,0.249034749035
American Airlines,1,180,0.166666666667
American Airlines,5,1813,0.0853379152348
American Airlines,6,4826,0.102487773761
American Airlines,7,7094,0.149288077089
American Airlines,8,5449,0.176228742291
American Airlines,9,5049,0.19368463395
American Airlines,10,4420,0.202985074627
American Airlines,11,5023,0.232605177994
American Airlines,12,4757,0.252777777778
American Airlines,13,4291,0.266146202981
American Airlines,14,4993,0.306653019447
American Airlines,15,4073,0.339064475348
American Airlines,16,4825,0.348623853211
American Airlines,17,4810,0.37513329068
American Airlines,18,5146,0.379289584588
American Airlines,19,3014,0.396504455106
American Airlines,20,4888,0.391166525782
American Airlines,21,1655,0.343885785227
American Airlines,22,2818,0.296993842811
American Airlines,23,585,0.30412371134
Alaska Airlines,0,154,0.11038961039
Alaska Airlines,1,93,0.0430107526882
Alaska Airlines,2,31,0.0967741935484
Alaska Airlines,5,124,0.0564516129032
Alaska Airlines,6,1268,0.0481452249408
Alaska Airlines,7,1234,0.100895036615
Alaska Airlines,8,1221,0.129827444536
Alaska Airlines,9,1053,0.135238095238
Alaska Airlines,10,925,0.137594799567
Alaska Airlines,11,1112,0.16169828365
Alaska Airlines,12,724,0.138504155125
Alaska Airlines,13,805,0.121098626717
Alaska Airlines,14,934,0.121636167922
Alaska Airlines,15,650,0.126543209877
Alaska Airlines,16,776,0.0944372574386
Alaska Airlines,17,1167,0.119930974978
Alaska Airlines,18,1322,0.134498480243
Alaska Airlines,19,911,0.138613861386
Alaska Airlines,20,648,0.15479876161
Alaska Airlines,21,577,0.08
Alaska Airlines,22,279,0.154121863799
Alaska Airlines,23,447,0.0807174887892
JetBlue Airways,0,31,0.0967741935484
JetBlue Airways,1,56,0.196428571429
JetBlue Airways,2,82,0.2625
JetBlue Airways,3,90,0.206896551724
JetBlue Airways,5,524,0.120388349515
JetBlue Airways,6,1478,0.0816882232811
JetBlue Airways,7,1816,0.0932297447281
JetBlue Airways,8,1399,0.10878962536
JetBlue Airways,9,1357,0.137982195846
JetBlue Airways,10,1396,0.144708423326
JetBlue Airways,11,1564,0.201034259858
JetBlue Airways,12,1378,0.234432234432
JetBlue Airways,13,1222,0.273631840796
JetBlue Airways,14,1368,0.266272189349
JetBlue Airways,15,1176,0.348958333333
JetBlue Airways,16,1502,0.31144211239
JetBlue Airways,17,1463,0.384723195515
JetBlue Airways,18,1523,0.402166553825
JetBlue Airways,19,1648,0.380481778876
JetBlue Airways,20,1309,0.434782608696
JetBlue Airways,21,1000,0.390194075587
JetBlue Airways,22,607,0.399317406143
JetBlue Airways,23,739,0.366120218579
Delta Air Lines,0,352,0.174927113703
Delta Air Lines,1,50,0.244897959184
Delta Air Lines,2,35,0.114285714286
Delta Air Lines,5,2640,0.0945681906995
Delta Air Lines,6,5314,0.107733743748
Delta Air Lines,7,5398,0.127462121212
Delta Air Lines,8,5682,0.127246585191
Delta Air Lines,9,5330,0.132079093876
Delta Air Lines,10,4434,0.13258012451
Delta Air Lines,11,5590,0.146
Delta Air Lines,12,5311,0.153757447626
Delta Air Lines,13,5089,0.17940999398
Delta Air Lines,14,4180,0.200293470286
Delta Air Lines,15,5611,0.215614739146
Delta Air Lines,16,4754,0.224547023296
Delta Air Lines,17,5289,0.259503491078
Delta Air Lines,18,3835,0.2419527897
Delta Air Lines,19,5156,0.270804230692
Delta Air Lines,20,3338,0.259225092251
Delta Air Lines,21,2598,0.223987291501
Delta Air Lines,22,3510,0.204153261187
Delta Air Lines,23,1044,0.234886025768
ExpressJet Airlines,5,1255,0.100328947368
ExpressJet Airlines,6,3150,0.106671070013
ExpressJet Airlines,7,2211,0.150417827298
ExpressJet Airlines,8,2365,0.167820069204
ExpressJet Airlines,9,2643,0.152713178295
ExpressJet Airlines,10,3392,0.174856798312
ExpressJet Airlines,11,2576,0.191835116924
ExpressJet Airlines,12,2933,0.218531468531
ExpressJet Airlines,13,2899,0.235671057316
ExpressJet Airlines,14,2811,0.280073800738
ExpressJet Airlines,15,2868,0.301518438178
ExpressJet Airlines,16,2548,0.340558566069
ExpressJet Airlines,17,3003,0.315058739765
ExpressJet Airlines,18,2525,0.331202046036
ExpressJet Airlines,19,2230,0.312771084337
ExpressJet Airlines,20,2028,0.320915380522
ExpressJet Airlines,21,1150,0.256554307116
ExpressJet Airlines,22,567,0.192748091603
ExpressJet Airlines,23,101,0.154639175258
Frontier Airlines,0,152,0.417218543046
Frontier Airlines,1,36,0.305555555556
Frontier Airlines,5,139,0.165467625899
Frontier Airlines,6,707,0.170454545455
Frontier Airlines,7,583,0.219931271478
Frontier Airlines,8,445,0.233031674208
Frontier Airlines,9,437,0.233944954128
Frontier Airlines,10,569,0.231040564374
Frontier Airlines,11,382,0.335958005249
Frontier Airlines,12,272,0.224264705882
Frontier Airlines,13,397,0.281012658228
Frontier Airlines,14,452,0.28285077951
Frontier Airlines,15,543,0.405555555556
Frontier Airlines,16,606,0.479201331115
Frontier Airlines,17,512,0.411067193676
Frontier Airlines,18,570,0.415789473684
Frontier Airlines,19,489,0.474226804124
Frontier Airlines,20,485,0.470954356846
Frontier Airlines,21,477,0.370526315789
Frontier Airlines,22,280,0.440433212996
Frontier Airlines,23,398,0.476070528967
Hawaiian Airlines,1,31,0.0
Hawaiian Airlines,5,170,0.0117647058824
Hawaiian Airlines,6,307,0.0130293159609
Hawaiian Airlines,7,442,0.0385487528345
Hawaiian Airlines,8,461,0.0152173913043
Hawaiian Airlines,9,553,0.0380434782609
Hawaiian Airlines,10,570,0.0724381625442
Hawaiian Airlines,11,539,0.0558659217877
Hawaiian Airlines,12,424,0.0924170616114
Hawaiian Airlines,13,588,0.11073253833
Hawaiian Airlines,14,508,0.132411067194
Hawaiian Airlines,15,539,0.132710280374
Hawaiian Airlines,16,395,0.102040816327
Hawaiian Airlines,17,407,0.0982800982801
Hawaiian Airlines,18,335,0.0507462686567
Hawaiian Airlines,19,230,0.0695652173913
Hawaiian Airlines,20,240,0.0541666666667
Hawaiian Airlines,21,175,0.0285714285714
Hawaiian Airlines,22,115,0.0347826086957
Hawaiian Airlines,23,20,0.05
Spirit Airlines,0,124,0.188524590164
Spirit Airlines,1,62,0.220338983051
Spirit Airlines,2,44,0.272727272727
Spirit Airlines,5,93,0.0652173913043
Spirit Airlines,6,868,0.101398601399
Spirit Airlines,7,1001,0.150505050505
Spirit Airlines,8,902,0.164245810056
Spirit Airlines,9,598,0.175675675676
Spirit Airlines,10,589,0.21724137931
Spirit Airlines,11,678,0.19552238806
Spirit Airlines,12,638,0.248
Spirit Airlines,13,505,0.220202020202
Spirit Airlines,14,475,0.298924731183
Spirit Airlines,15,620,0.34477124183
Spirit Airlines,16,723,0.347025495751
Spirit Airlines,17,641,0.373417721519
Spirit Airlines,18,721,0.392857142857
Spirit Airlines,19,806,0.367217280813
Spirit Airlines,20,713,0.424892703863
Spirit Airlines,21,558,0.396261682243
Spirit Airlines,22,332,0.368902439024
Spirit Airlines,23,301,0.302721088435
SkyWest Airlines,4,3,0.0
SkyWest Airlines,5,1189,0.0800681431005
SkyWest Airlines,6,3846,0.0921052631579
SkyWest Airlines,7,3471,0.143105446118
SkyWest Airlines,8,3351,0.173860911271
SkyWest Airlines,9,2933,0.163810829335
SkyWest Airlines,10,3802,0.200636098595
SkyWest Airlines,11,3396,0.166172106825
SkyWest Airlines,12,3239,0.187909005921
SkyWest Airlines,13,4131,0.173668783586
SkyWest Airlines,14,2909,0.225425494964
SkyWest Airlines,15,3898,0.186998186998
SkyWest Airlines,16,3098,0.208769633508
SkyWest Airlines,17,4139,0.213865752082
SkyWest Airlines,18,3177,0.202487244898
SkyWest Airlines,19,2600,0.226510721248
SkyWest Airlines,20,2856,0.184442097853
SkyWest Airlines,21,1042,0.137998056365
SkyWest Airlines,22,1255,0.13018714402
SkyWest Airlines,23,217,0.121495327103
United Airlines,0,317,0.195512820513
United Airlines,1,70,0.285714285714
United Airlines,2,36,0.257142857143
United Airlines,5,1087,0.0540540540541
United Airlines,6,3860,0.0764813364657
United Airlines,7,3654,0.137027846705
United Airlines,8,3346,0.140144665461
United Airlines,9,3328,0.172989377845
United Airlines,10,2842,0.211353088183
United Airlines,11,2853,0.200635817732
United Airlines,12,2955,0.220739219713
United Airlines,13,3087,0.252535165195
United Airlines,14,2442,0.264900662252
United Airlines,15,2866,0.264612114772
United Airlines,16,2529,0.271634615385
United Airlines,17,3448,0.299590403745
United Airlines,18,2286,0.303350970018
United Airlines,19,3150,0.306508496313
United Airlines,20,1874,0.317494600432
United Airlines,21,1641,0.247087676272
United Airlines,22,1318,0.192807957154
United Airlines,23,769,0.219160104987
Virgin America,6,54,0.222222222222
Virgin America,7,746,0.150740242261
Virgin America,8,376,0.179624664879
Virgin America,9,546,0.272058823529
Virgin America,10,356,0.22191011236
Virgin America,11,461,0.227074235808
Virgin America,12,369,0.282608695652
Virgin America,13,332,0.282674772036
Virgin America,14,447,0.356502242152
Virgin America,15,216,0.246511627907
Virgin America,16,326,0.286153846154
Virgin America,17,638,0.299843014129
Virgin America,18,482,0.3125
Virgin America,19,151,0.3
Virgin America,20,178,0.361581920904
Virgin America,21,157,0.261146496815
Virgin America,22,93,0.141304347826
Virgin America,23,143,0.230769230769
Southwest Airlines,5,2093,0.042206235012
Southwest Airlines,6,8419,0.0404645037711
Southwest Airlines,7,7180,0.0566037735849
Southwest Airlines,8,7793,0.0751937984496
Southwest Airlines,9,6562,0.1054170514
Southwest Airlines,10,7588,0.124252491694
Southwest Airlines,11,6536,0.148496530455
Southwest Airlines,12,6481,0.164460364429
Southwest Airlines,13,6796,0.194390859178
Southwest Airlines,14,6299,0.233889067009
Southwest Airlines,15,6661,0.268163203398
Southwest Airlines,16,6435,0.273672601229
Southwest Airlines,17,7057,0.307405281286
Southwest Airlines,18,6649,0.30966168851
Southwest Airlines,19,6983,0.315918958032
Southwest Airlines,20,5769,0.331058617673
Southwest Airlines,21,4126,0.304857212595
Southwest Airlines,22,1348,0.327327327327
